,0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,run_9,FD004-->FD002,31.31064525,96527.0635,28.9307755,64634.24862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,mean,0,31.31,96527.06,28.87,62787.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,std,0,0,0,0.36,1505.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,run_0,FD004-->FD003,19.25913982,1861.005545,14.99261456,854.5503141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,run_1,FD004-->FD003,19.25913982,1861.005545,14.01691589,459.1258841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,run_2,FD004-->FD003,19.25913982,1861.005545,14.28889112,587.0491407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,run_3,FD004-->FD003,19.25913982,1861.005545,15.095156,889.5933873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,run_4,FD004-->FD003,19.25913982,1861.005545,14.26300611,707.4211397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,run_5,FD004-->FD003,19.25913982,1861.005545,14.01598511,537.6374031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,run_6,FD004-->FD003,19.25913982,1861.005545,14.35589314,540.7876821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,run_7,FD004-->FD003,19.25913982,1861.005545,14.26240177,638.4618401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,run_8,FD004-->FD003,19.25913982,1861.005545,14.05527191,530.3652441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,run_9,FD004-->FD003,19.25913982,1861.005545,13.9826129,439.2016175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,mean,0,19.26,1861.01,14.33,618.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,std,0,0,0,0.38,147.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,FD001-->FD002,RMSE,19.95 ± 0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,FD001-->FD002,Score,4573.82 ± 439.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,FD001-->FD003,RMSE,39.64 ± 0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,FD001-->FD003,Score,10604.50 ± 343.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,FD001-->FD004,RMSE,31.91 ± 0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,FD001-->FD004,Score,12197.39 ± 864.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,FD002-->FD001,RMSE,14.24 ± 0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,FD002-->FD001,Score,451.24 ± 21.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,FD002-->FD003,RMSE,32.82 ± 0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,FD002-->FD003,Score,3536.10 ± 386.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,FD002-->FD004,RMSE,34.73 ± 0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,FD002-->FD004,Score,12949.19 ± 1413.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,FD003-->FD001,RMSE,19.88 ± 0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,FD003-->FD001,Score,1375.32 ± 166.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,FD003-->FD002,RMSE,23.48 ± 0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,FD003-->FD002,Score,21198.61 ± 2599.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,FD003-->FD004,RMSE,26.12 ± 0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,FD003-->FD004,Score,47075.63 ± 18909.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,FD004-->FD001,RMSE,37.87 Â± 0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,FD004-->FD001,Score,121512.76 ± 2297.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,FD004-->FD002,RMSE,28.87 ± 0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,FD004-->FD002,Score,62787.98 ± 1505.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,FD004-->FD003,RMSE,14.33 ± 0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,FD004-->FD003,Score,618.42 ± 147.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,FD001-->FD002,19.95,0.3,4573.82,439.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,FD001-->FD003,39.64,0.24,10604.5,343.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,FD001-->FD004,31.91,0.31,12197.39,864.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,FD002-->FD001,14.24,0.15,451.24,21.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
